@id;addr:street;addr:housenumber;amenity;addr:city;addr:postcode;@lat;@lon
773272849;Kalvarijų g.;24;;Vilnius;;54.6964692;25.2814256
773347244;Kalvarijų g.;3;;Vilnius;;54.6929815;25.2811690
773348614;Kalvarijų g.;29;library;Vilnius;;54.6961384;25.2818359
773602135;Kalvarijų g.;30;;Vilnius;;54.6972278;25.2814131
773872334;Pašilės g.;34;kindergarten;Kaunas;;54.9068176;23.9665245
774102362;Juodelynės g.;84;;Kaunas;;54.8696476;23.8537641
775320741;Sirpučių g.;50;;Vilnius;;54.6341073;25.0888273
775862223;S. Žukausko g.;49;;Vilnius;;54.7110342;25.3031894
776865574;Sembos g.;43;;Šiauliai;78304;55.8948856;23.2777619
776865750;Sembos g.;37;;Šiauliai;78304;55.8951921;23.2770840
776865776;Sembos g.;53;;Šiauliai;78304;55.8944580;23.2789098
776865905;Sembos g.;55;;Šiauliai;78304;55.8943737;23.2791804
776865921;Sembos g.;57;;Šiauliai;78304;55.8942910;23.2794456
776865948;Sembos g.;51;;Šiauliai;78304;55.8945285;23.2787267
783439547;Jotvingių g.;3;;Šiauliai;;55.9026270;23.2866699
783439552;Statybininkų g.;25F;;Šiauliai;;55.9029691;23.2882130
783439556;Jotvingių g.;5;;Šiauliai;;55.9024816;23.2869083
783439561;Statybininkų g.;30;;Šiauliai;;55.9029770;23.2870276
783439572;Luknės g.;14;;Šiauliai;;55.9037974;23.2811989
783439578;Luknės g.;18;;Šiauliai;;55.9040337;23.2806382
783439587;Luknės g.;12;;Šiauliai;;55.9036853;23.2814901
783439591;Luknės g.;16;;Šiauliai;;55.9039070;23.2809468
785933860;Laisvės pr.;82;;Vilnius;;54.7240205;25.2324176
786212496;Lvovo g.;25;;Vilnius;09320;54.6967809;25.2787166
792593810;Partizanų g.;44;;Kaunas;;54.9194668;23.9589954
797649564;Mažosios Lietuvos g.;29;;Šiauliai;78376;55.8969289;23.2529250
797649683;Mažosios Lietuvos g.;3R;;Šiauliai;78376;55.8992058;23.2595463
797649692;Mažosios Lietuvos g.;23;;Šiauliai;78376;55.8974004;23.2538066
797649702;Karaliaučiaus g.;15;;Šiauliai;78374;55.9032240;23.2591368
797649710;Mažosios Lietuvos g.;6;;Šiauliai;78376;55.8961737;23.2508093
797649718;Mažosios Lietuvos g.;17;;Šiauliai;78376;55.8978389;23.2547186
797649727;Mažosios Lietuvos g.;3;;Šiauliai;78376;55.9004324;23.2593487
797649733;Karaliaučiaus g.;29;;Šiauliai;78374;55.9021240;23.2548227
797649759;Mažosios Lietuvos g.;25;;Šiauliai;78376;55.8972467;23.2535110
797649826;Mažosios Lietuvos g.;19;;Šiauliai;78376;55.8976310;23.2543531
797649856;Mažosios Lietuvos g.;31;;Šiauliai;78376;55.8967106;23.2524739
797649867;Mažosios Lietuvos g.;3K;;Šiauliai;78376;55.9000974;23.2587512
797649931;Mažosios Lietuvos g.;5;;Šiauliai;78376;55.8990005;23.2568145
797649954;Mažosios Lietuvos g.;1;;Šiauliai;78376;55.9009160;23.2603174
797649963;Mažosios Lietuvos g.;21;;Šiauliai;78376;55.8975330;23.2541001
797649977;Mažosios Lietuvos g.;33;;Šiauliai;78376;55.8965744;23.2522040
797650008;Mažosios Lietuvos g.;27;;Šiauliai;78376;55.8971019;23.2531871
797650022;Mažosios Lietuvos g.;12;;Šiauliai;78376;55.9006756;23.2590018
798016512;Tilžės g.;28;;Šiauliai;;55.9132636;23.2776938
798016523;Ateities g.;11;;Šiauliai;78203;55.9118787;23.2800731
798016525;Vilties g.;16;;Šiauliai;78214;55.9118813;23.2794390
798016540;J. Sondeckio g.;26B;;Šiauliai;78226;55.9105589;23.2793651
798016545;Ateities g.;19;;Šiauliai;78203;55.9112148;23.2791696
798016549;Tiesos g.;10;;Šiauliai;78203;55.9119362;23.2817165
798016553;Vilties g.;12;;Šiauliai;78214;55.9122074;23.2789830
798016569;Tiesos g.;18;;Šiauliai;78203;55.9112046;23.2807961
798016583;Tiesos g.;28;;Šiauliai;78215;55.9103635;23.2797443
798016587;Ateities g.;7;;Šiauliai;78203;55.9122652;23.2805846
798016604;Tiesos g.;7;;Šiauliai;78195;55.9132100;23.2809017
798016620;Tiesos g.;11;;Šiauliai;78195;55.9129604;23.2814913
798016650;Tiesos g.;19;;Šiauliai;78195;55.9125363;23.2825296
798016658;Ateities g.;15;;Šiauliai;78203;55.9115274;23.2796224
798016662;Ateities g.;1;;Šiauliai;78203;55.9127199;23.2811443
798016671;Vilties g.;14;;Šiauliai;78214;55.9120341;23.2792346
798016677;Ateities g.;17;;Šiauliai;78203;55.9114005;23.2794211
798016678;Tiesos g.;16;;Šiauliai;78203;55.9114341;23.2810451
798016682;Tiesos g.;17;;Šiauliai;78195;55.9126593;23.2822217
798016683;Ateities g.;23;;Šiauliai;78215;55.9107202;23.2787545
798016685;Tiesos g.;22;;Šiauliai;78203;55.9108099;23.2803670
798016707;Tiesos g.;5;;Šiauliai;78195;55.9133257;23.2806953
